filename,width,height,class,xmin,ymin,xmax,ymax
images (33).jpg,352,143,empty,160,112,265,143
images (33).jpg,352,143,empty,226,95,319,141
images (33).jpg,352,143,empty,272,85,352,119
images (33).jpg,352,143,empty,296,74,351,100
images (34).jpg,276,183,empty,196,164,236,183
images (34).jpg,276,183,empty,174,150,213,178
images (34).jpg,276,183,empty,159,145,192,167
images (34).jpg,276,183,empty,142,136,174,156
images (34).jpg,276,183,empty,132,129,165,146
images (34).jpg,276,183,empty,233,99,261,111
images (34).jpg,276,183,empty,221,90,242,108
images (34).jpg,276,183,empty,205,85,232,104
images (34).jpg,276,183,empty,198,85,218,99
images (34).jpg,276,183,empty,189,82,205,92
images (34).jpg,276,183,empty,112,116,138,130
images (34).jpg,276,183,empty,177,81,201,86
images (34).jpg,276,183,empty,100,105,127,126
images (35).jpg,303,166,empty,25,75,93,96
images (35).jpg,303,166,empty,137,131,261,166
images (35).jpg,303,166,empty,232,117,301,166
images (35).jpg,303,166,empty,77,75,137,96
images (35).jpg,303,166,empty,112,68,174,85
images (35).jpg,303,166,empty,158,66,230,82
images (35).jpg,303,166,empty,207,63,256,80
images (35).jpg,303,166,empty,240,63,288,76
images (35).jpg,303,166,empty,18,61,74,75
images (35).jpg,303,166,empty,57,61,102,71
images (35).jpg,303,166,empty,95,59,135,71
images (35).jpg,303,166,empty,25,45,62,56
images (35).jpg,303,166,empty,134,52,177,70
images (35).jpg,303,166,empty,167,49,203,64
images (35).jpg,303,166,empty,100,42,130,47
images (35).jpg,303,166,empty,128,38,154,53
images (39).jpg,300,168,empty,52,81,80,93
images (40).jpg,275,183,empty,184,126,275,134
images (40).jpg,275,183,empty,183,115,275,122
images (40).jpg,275,183,empty,186,112,267,119
images (40).jpg,275,183,empty,186,109,258,112
images (42).jpg,260,194,empty,114,12,176,122
images (43).jpg,317,159,empty,66,113,150,141
images (44).jpg,339,149,empty,120,72,175,106
images (44).jpg,339,149,empty,138,50,176,62
images (44).jpg,339,149,empty,257,62,297,95
images (45).jpg,259,195,empty,149,153,247,192
images (45).jpg,259,195,empty,76,146,177,178
images (45).jpg,259,195,empty,25,137,119,158
images (45).jpg,259,195,empty,4,124,71,143
images (45).jpg,259,195,empty,186,86,235,105
images (45).jpg,259,195,empty,142,86,196,105
images (45).jpg,259,195,empty,90,84,151,100
images (45).jpg,259,195,empty,120,49,151,60
images (45).jpg,259,195,empty,69,73,120,86
images (45).jpg,259,195,empty,171,52,204,62
images (46).jpg,275,183,empty,123,33,203,166
images (47).jpg,259,194,empty,15,106,259,168
images (47).jpg,259,194,empty,39,76,238,111
images (47).jpg,259,194,empty,69,60,216,80
images (47).jpg,259,194,empty,76,48,199,64
images (47).jpg,259,194,empty,88,45,189,54
images (48).jpg,260,194,empty,127,112,192,132
images (48).jpg,260,194,empty,73,111,141,135
images (48).jpg,260,194,empty,17,111,77,142
images (48).jpg,260,194,empty,1,95,45,112
images (48).jpg,260,194,empty,36,102,80,114
images (48).jpg,260,194,empty,82,91,105,97
images (48).jpg,260,194,empty,102,86,123,97
images (48).jpg,260,194,empty,20,90,36,99
images (48).jpg,260,194,empty,149,86,163,99
images (50).jpg,259,194,empty,167,155,249,194
images (50).jpg,259,194,empty,172,75,204,103
images (50).jpg,259,194,empty,151,75,188,94
images (50).jpg,259,194,empty,113,64,141,82
images (50).jpg,259,194,empty,95,61,137,78
images (50).jpg,259,194,empty,72,56,95,69
images (50).jpg,259,194,empty,52,49,85,61
images (50).jpg,259,194,empty,1,79,31,89
images (50).jpg,259,194,empty,1,70,24,82
images (50).jpg,259,194,empty,176,37,191,44
images (50).jpg,259,194,empty,195,37,207,44
images (50).jpg,259,194,empty,162,37,177,46
images (50).jpg,259,194,empty,148,18,163,27
images (54).jpg,315,160,empty,196,123,207,139
images (54).jpg,315,160,empty,249,137,259,149
images (54).jpg,315,160,empty,256,132,266,149
images (54).jpg,315,160,empty,203,123,215,134
images (54).jpg,315,160,empty,212,120,220,135
images (54).jpg,315,160,empty,215,120,228,133
images (54).jpg,315,160,empty,242,139,252,153
images (54).jpg,315,160,empty,208,86,219,98
images (54).jpg,315,160,empty,188,93,201,100
images (54).jpg,315,160,empty,167,63,178,66
images (54).jpg,315,160,empty,168,94,176,108
images (54).jpg,315,160,empty,173,116,178,138
images (54).jpg,315,160,empty,157,137,171,151
images (55).jpg,259,194,empty,116,117,142,131
images (55).jpg,259,194,empty,128,111,156,124
images (55).jpg,259,194,empty,194,129,228,145
images (55).jpg,259,194,empty,222,107,247,116
images (56).jpg,194,259,empty,65,145,187,259
images (56).jpg,194,259,empty,12,147,119,259
images (56).jpg,194,259,empty,58,122,151,152
images (56).jpg,194,259,empty,152,107,186,121
images (56).jpg,194,259,empty,4,110,80,140
images (56).jpg,194,259,empty,125,124,194,147
images (57).jpg,275,183,empty,92,170,106,177
images (57).jpg,275,183,empty,72,44,86,51
images (57).jpg,275,183,empty,71,38,87,45
images (57).jpg,275,183,empty,119,147,133,156
images (57).jpg,275,183,empty,74,147,91,157
images (57).jpg,275,183,empty,70,133,84,140
images (57).jpg,275,183,empty,39,117,53,126
images (57).jpg,275,183,empty,74,163,93,172
images (57).jpg,275,183,empty,41,133,60,140
images (57).jpg,275,183,empty,41,140,56,145
images (60).jpg,314,160,empty,264,118,302,132
images (60).jpg,314,160,empty,272,109,312,125
images (60).jpg,314,160,empty,283,101,314,112
images (61).jpg,300,168,empty,61,101,87,127
images (61).jpg,300,168,empty,82,99,125,129
images (61).jpg,300,168,empty,115,101,152,124
images (61).jpg,300,168,empty,146,98,185,131
images (61).jpg,300,168,empty,174,99,208,127
images (61).jpg,300,168,empty,251,107,296,142
images (61).jpg,300,168,empty,90,74,113,96
images (61).jpg,300,168,empty,104,71,134,96
images (61).jpg,300,168,empty,130,80,153,91
images (61).jpg,300,168,empty,150,77,176,89
images (61).jpg,300,168,empty,92,56,113,70
images (61).jpg,300,168,empty,107,56,130,70
images (61).jpg,300,168,empty,124,56,145,68
images (61).jpg,300,168,empty,140,57,159,72
images (61).jpg,300,168,empty,259,63,284,73
images (63).jpg,275,183,empty,91,117,201,183
images (63).jpg,275,183,empty,12,117,122,183
images (63).jpg,275,183,empty,165,119,270,183
images (63).jpg,275,183,empty,154,94,221,117
images (63).jpg,275,183,empty,79,96,121,119
images (63).jpg,275,183,empty,41,98,91,121
images (63).jpg,275,183,empty,2,96,53,117
images (63).jpg,275,183,empty,188,94,258,115
images (63).jpg,275,183,empty,132,82,149,93
images (63).jpg,275,183,empty,114,82,132,87
images (65).jpg,320,157,empty,1,98,62,114
images (65).jpg,320,157,empty,30,94,100,110
images (65).jpg,320,157,empty,67,93,125,103
images (65).jpg,320,157,empty,154,129,280,156
images (65).jpg,320,157,empty,212,117,320,150
images (65).jpg,320,157,empty,256,105,320,120
images (65).jpg,320,157,empty,133,87,176,95
images (66).jpg,267,189,empty,184,126,212,138
images (66).jpg,267,189,empty,239,101,256,112
images (68).jpg,277,182,empty,46,56,72,94
images (68).jpg,277,182,empty,41,87,100,137
images (69).jpg,259,194,empty,12,116,28,137
images (69).jpg,259,194,empty,21,114,33,144
images (69).jpg,259,194,empty,60,128,79,152
images (69).jpg,259,194,empty,140,145,160,175
images (69).jpg,259,194,empty,172,147,195,180
images (69).jpg,259,194,empty,93,59,114,75
images (69).jpg,259,194,empty,230,157,256,194
images (69).jpg,259,194,empty,61,162,79,194
images (69).jpg,259,194,empty,98,169,117,194
images (69).jpg,259,194,empty,112,167,140,194
images (71).jpg,285,177,empty,33,158,106,177
images (71).jpg,285,177,empty,61,140,119,173
images (71).jpg,285,177,empty,82,131,131,158
images (71).jpg,285,177,empty,172,58,201,74
images (71).jpg,285,177,empty,111,53,143,59
images (71).jpg,285,177,empty,144,72,176,86
images (71).jpg,285,177,empty,109,86,146,105
images (71).jpg,285,177,empty,45,75,73,94
images (71).jpg,285,177,empty,67,70,88,86
images (71).jpg,285,177,empty,1,95,46,110
images (71).jpg,285,177,empty,162,88,200,105
images (71).jpg,285,177,empty,139,98,179,121
images (72).jpg,276,183,empty,1,89,51,115
images (72).jpg,276,183,empty,1,84,60,96
images (72).jpg,276,183,empty,13,62,83,75
images (72).jpg,276,183,empty,198,64,263,76
images (74).jpg,275,183,empty,36,86,90,121
images (74).jpg,275,183,empty,76,88,132,121
images (74).jpg,275,183,empty,121,88,178,123
images (74).jpg,275,183,empty,156,82,225,128
images (74).jpg,275,183,empty,193,83,272,123
images (74).jpg,275,183,empty,167,118,251,172
images (74).jpg,275,183,empty,71,118,136,172
images (74).jpg,275,183,empty,1,119,83,172
images (74).jpg,275,183,empty,97,46,132,62
images (74).jpg,275,183,empty,127,44,163,65
images (74).jpg,275,183,empty,66,49,102,65
images (74).jpg,275,183,empty,39,48,74,70
images (74).jpg,275,183,empty,1,38,34,48
images (74).jpg,275,183,empty,106,20,129,41
images (75).jpg,299,168,empty,133,143,206,168
images (75).jpg,299,168,empty,171,146,231,168
images (77).jpg,311,162,empty,144,123,168,155
images (77).jpg,311,162,empty,146,104,168,125
images (77).jpg,311,162,empty,267,127,295,148
images (77).jpg,311,162,empty,80,74,101,90
images (77).jpg,311,162,empty,96,70,120,93
images (77).jpg,311,162,empty,106,35,131,54
images (77).jpg,311,162,empty,167,35,190,47
images (77).jpg,311,162,empty,19,37,41,50
images (77).jpg,311,162,empty,195,36,218,47
images (77).jpg,311,162,empty,225,36,252,49
images (77).jpg,311,162,empty,236,23,259,36
images (77).jpg,311,162,empty,152,23,169,35
images (77).jpg,311,162,empty,106,21,127,38
images (77).jpg,311,162,empty,144,123,168,155
images (77).jpg,311,162,empty,146,104,168,125
images (77).jpg,311,162,empty,267,127,295,148
images (77).jpg,311,162,empty,80,74,101,90
images (77).jpg,311,162,empty,96,70,120,93
images (77).jpg,311,162,empty,106,35,131,54
images (77).jpg,311,162,empty,167,35,190,47
images (77).jpg,311,162,empty,19,37,41,50
images (77).jpg,311,162,empty,195,36,218,47
images (77).jpg,311,162,empty,225,36,252,49
images (77).jpg,311,162,empty,236,23,259,36
images (77).jpg,311,162,empty,152,23,169,35
images (78).jpg,303,166,empty,16,73,100,101
images (78).jpg,303,166,empty,125,129,292,166
images (78).jpg,303,166,empty,67,70,141,100
images (78).jpg,303,166,empty,97,39,132,51
images (78).jpg,303,166,empty,113,39,156,45
images (78).jpg,303,166,empty,90,47,147,73
images (78).jpg,303,166,empty,107,49,182,73
images (78).jpg,303,166,empty,9,60,74,73
images (78).jpg,303,166,empty,109,72,184,86
images (78).jpg,303,166,empty,147,63,228,82
images (78).jpg,303,166,empty,226,53,287,86
images (81).jpg,355,142,empty,2,95,222,127
images (81).jpg,355,142,empty,104,81,238,104
images (81).jpg,355,142,empty,133,67,268,79
images (81).jpg,355,142,empty,5,57,55,67
images (81).jpg,355,142,empty,29,55,71,62
images (81).jpg,355,142,empty,180,64,276,72
images (81).jpg,355,142,empty,211,55,288,67
images (82).jpg,259,194,empty,66,123,77,127
images (82).jpg,259,194,empty,82,127,96,130
images (82).jpg,259,194,empty,89,139,105,144
images (82).jpg,259,194,empty,62,132,81,136
images (82).jpg,259,194,empty,38,122,53,127
images (83).jpg,275,183,empty,123,112,275,154
images (83).jpg,275,183,empty,1,89,177,124
images (83).jpg,275,183,empty,116,73,275,113
images (83).jpg,275,183,empty,28,59,133,71
images (83).jpg,275,183,empty,84,57,189,70
images (83).jpg,275,183,empty,123,112,275,154
images (83).jpg,275,183,empty,1,89,177,124
images (83).jpg,275,183,empty,116,73,275,113
images (87).jpg,365,138,empty,111,107,248,138
images (87).jpg,365,138,empty,48,99,176,116
images (87).jpg,365,138,empty,36,91,132,105
images (87).jpg,365,138,empty,11,84,107,97
images (87).jpg,365,138,empty,307,87,365,104
images (87).jpg,365,138,empty,267,83,358,99
images (87).jpg,365,138,empty,238,80,320,94
images (87).jpg,365,138,empty,208,76,282,86
images (87).jpg,365,138,empty,187,71,253,85
images (87).jpg,365,138,empty,145,64,194,74
images (88).jpg,274,184,empty,116,134,170,165
images (90).jpg,275,183,empty,109,133,142,152
images (90).jpg,275,183,empty,132,147,166,165
images (90).jpg,275,183,empty,184,119,217,140
images (90).jpg,275,183,empty,125,74,156,91
images (90).jpg,275,183,empty,69,101,100,114
images (90).jpg,275,183,empty,48,79,81,99
images (90).jpg,275,183,empty,60,30,93,47
images (90).jpg,275,183,empty,118,9,146,26
images (90).jpg,275,183,empty,1,60,32,72
images (90).jpg,275,183,empty,11,124,44,147
images (90).jpg,275,183,empty,43,154,88,179
Z.jpg,333,151,empty,51,115,156,146
Z.jpg,333,151,empty,180,122,240,151
Z.jpg,333,151,empty,185,106,240,139
Z.jpg,333,151,empty,220,106,304,148
Z.jpg,333,151,empty,26,106,108,134
Z.jpg,333,151,empty,196,92,225,104
Z.jpg,333,151,empty,120,97,159,113
Z.jpg,333,151,empty,299,96,330,115
Z.jpg,333,151,empty,263,110,333,142
Z.jpg,333,151,empty,158,101,202,125
